,country,age,gender,marital_status,education_level,funnel|exposure,funnel|enrollment,funnel|usage_basic,funnel|usage_sophisticated,funnel|usage,funnel|recent,funnel|longevity,funnel|frequent,funnel|retention
321,nigeria,18.0,1,1,4,False,False,False,False,False,False,False,False,False
322,nigeria,20.0,2,1,5,False,False,False,False,False,False,False,False,False
323,nigeria,39.0,1,3,5,True,False,False,False,False,False,False,False,False
324,nigeria,40.0,2,1,8,True,True,True,False,True,False,False,False,False
325,nigeria,50.0,1,3,3,False,False,False,False,False,False,False,False,False
326,nigeria,28.0,2,3,3,False,False,False,False,False,False,False,False,False
327,nigeria,70.0,1,3,10,False,False,False,False,False,False,False,False,False
328,nigeria,66.0,2,3,3,False,False,False,False,False,False,False,False,False
329,nigeria,28.0,2,1,10,False,False,False,False,False,False,False,False,False
330,nigeria,20.0,1,1,5,False,False,False,False,False,False,False,False,False
331,nigeria,55.0,1,3,3,False,False,False,False,False,False,False,False,False
332,nigeria,32.0,2,1,5,False,False,False,False,False,False,False,False,False
333,nigeria,45.0,2,3,3,False,False,False,False,False,False,False,False,False
334,nigeria,40.0,1,1,5,False,False,False,False,False,False,False,False,False
335,nigeria,62.0,1,2,11,True,False,False,False,False,False,False,False,False
336,nigeria,30.0,2,1,11,False,False,False,False,False,False,False,False,False
337,nigeria,25.0,2,1,5,False,False,False,False,False,False,False,False,False
338,nigeria,25.0,1,1,5,False,False,False,False,False,False,False,False,False
339,nigeria,20.0,1,1,5,False,False,False,False,False,False,False,False,False
340,nigeria,18.0,1,1,5,False,False,False,False,False,False,False,False,False
341,nigeria,35.0,2,3,10,False,False,False,False,False,False,False,False,False
342,nigeria,15.0,1,1,4,False,False,False,False,False,False,False,False,False
343,nigeria,50.0,1,3,15,False,False,False,False,False,False,False,False,False
344,nigeria,20.0,2,1,5,False,False,False,False,False,False,False,False,False
345,nigeria,19.0,1,1,4,False,False,False,False,False,False,False,False,False
346,nigeria,25.0,1,1,4,False,False,False,False,False,False,False,False,False
347,nigeria,33.0,1,3,10,False,False,False,False,False,False,False,False,False
348,nigeria,28.0,1,1,4,False,False,False,False,False,False,False,False,False
349,nigeria,25.0,2,1,5,False,False,False,False,False,False,False,False,False
350,nigeria,29.0,1,1,5,True,False,False,False,False,False,False,False,False
351,nigeria,64.0,2,3,2,False,False,False,False,False,False,False,False,False
352,nigeria,40.0,1,3,3,False,False,False,False,False,False,False,False,False
353,nigeria,23.0,2,3,5,False,False,False,False,False,False,False,False,False
354,nigeria,35.0,2,1,7,True,False,False,False,False,False,False,False,False
355,nigeria,20.0,2,3,4,False,False,False,False,False,False,False,False,False
356,nigeria,50.0,2,1,3,False,False,False,False,False,False,False,False,False
357,nigeria,24.0,1,1,3,False,False,False,False,False,False,False,False,False
358,nigeria,25.0,1,1,5,False,False,False,False,False,False,False,False,False
359,nigeria,22.0,1,1,5,True,False,False,False,False,False,False,False,False
360,nigeria,30.0,2,1,4,False,False,False,False,False,False,False,False,False
361,nigeria,22.0,2,1,5,True,False,False,False,False,False,False,False,False
362,nigeria,36.0,1,1,11,True,False,False,False,False,False,False,False,False
363,nigeria,24.0,2,1,5,False,False,False,False,False,False,False,False,False
364,nigeria,24.0,1,1,5,False,False,False,False,False,False,False,False,False
365,nigeria,15.0,2,1,5,False,False,False,False,False,False,False,False,False
366,nigeria,52.0,1,2,4,False,False,False,False,False,False,False,False,False
367,nigeria,23.0,2,1,5,False,False,False,False,False,False,False,False,False
368,nigeria,15.0,1,1,4,False,False,False,False,False,False,False,False,False
369,nigeria,28.0,2,1,10,True,False,False,False,False,False,False,False,False
370,nigeria,19.0,2,1,5,False,False,False,False,False,False,False,False,False
371,nigeria,38.0,1,3,11,True,False,False,False,False,False,False,False,False
372,nigeria,25.0,2,1,5,False,False,False,False,False,False,False,False,False
373,nigeria,27.0,2,1,10,True,False,False,False,False,False,False,False,False
374,nigeria,25.0,2,1,9,True,False,False,False,False,False,False,False,False
375,nigeria,35.0,1,1,5,False,False,False,False,False,False,False,False,False
376,nigeria,53.0,1,3,5,False,False,False,False,False,False,False,False,False
377,nigeria,25.0,2,7,5,True,False,False,False,False,False,False,False,False
378,nigeria,35.0,2,7,4,False,False,False,False,False,False,False,False,False
379,nigeria,29.0,2,6,5,False,False,False,False,False,False,False,False,False
380,nigeria,23.0,2,1,5,True,False,False,False,False,False,False,False,False
